issue_id,issue_title,business_area,affected_process,issue_source,date_identified,issue_description,affected_control,risk_category,risk_theme,severity,customer_impact,regulatory_impact,financial_impact_gbp,root_cause_category,root_cause_detail,repeat_issue,control_design_rating,operating_effectiveness_rating,issue_owner,action_owner,remediation_action,original_target_date,current_target_date,extension_count,status,last_update_date,management_commentary,closure_evidence_summary,evidence_status,evidence_rejection_count,validation_method,closure_review_date,reviewer_decision,reviewer_rationale,date_closed,residual_risk
ISS-034,Transaction-monitoring threshold ownership unclear,Financial Crime & Compliance,Transaction Monitoring,Internal Audit,2026-05-16,"Review of transaction monitoring identified that the control 'Threshold changes assigned, approved, tested and periodically reviewed' did not consistently prevent or detect the stated risk. The weakness could lead to delayed identification, inconsistent outcomes or incomplete management information.","Threshold changes assigned, approved, tested and periodically reviewed",Financial Crime,Monitoring Governance,Medium,None,Potential,,Roles and Responsibilities,"Accountability between teams was unclear, resulting in gaps in ownership, review and timely escalation.",false,Partially Effective,Ineffective,Money Laundering Reporting Officer,Financial Crime Controls Manager,Assign accountable owners and introduce a documented review and escalation workflow for transaction monitoring.,2026-11-15,2026-11-15,0,Remediation in Progress,2026-09-20,The accountable owner confirmed that remediation remains in progress and supporting evidence will be retained for independent validation.,,Not Submitted,0,,,Pending Review,,,
ISS-035,Sanctions-alert dispositions lack sufficient rationale,Financial Crime & Compliance,Sanctions Alert Review,Controls Testing,2026-02-19,"Review of sanctions alert review identified that the control 'Alert dispositions document evidence, rationale and independent quality review' did not consistently prevent or detect the stated risk. The weakness could lead to delayed identification, inconsistent outcomes or incomplete management information.","Alert dispositions document evidence, rationale and independent quality review",Financial Crime,Sanctions Screening,High,None,Potential,,Training and Capability,Guidance and role-based training did not equip staff to apply the control consistently in higher-risk cases.,false,Effective,Partially Effective,Money Laundering Reporting Officer,Financial Crime Controls Manager,Deliver role-based guidance and quality assurance checks for staff performing sanctions alert review.,2026-08-31,2026-10-15,1,Further Evidence Required,2026-09-20,The accountable owner confirmed that remediation remains in progress and supporting evidence will be retained for independent validation.,Procedure and selected implementation evidence submitted; reviewer identified gaps in the testing period or population.,Further Evidence Required,2,Document inspection and targeted sample testing,2026-09-22,Request Further Evidence,The evidence supports the revised design but does not yet demonstrate complete and sustained operating effectiveness.,,
ISS-036,Screening-administrator rights not segregated,Financial Crime & Compliance,Screening System Access,Internal Audit,2025-12-20,"Review of screening system access identified that the control 'Screening administration separated from alert disposition and recertified' did not consistently prevent or detect the stated risk. The weakness could lead to delayed identification, inconsistent outcomes or incomplete management information.",Screening administration separated from alert disposition and recertified,Technology & Cyber Risk,Access Management,Low,None,Potential,,Access Governance,"Access roles, approvals or periodic recertification requirements were not defined and evidenced consistently.",false,Effective,Effective,Money Laundering Reporting Officer,Financial Crime Controls Manager,Define least-privilege roles and complete evidenced access approval and recertification for screening system access.,2026-05-31,2026-05-31,0,Closed,2026-05-26,The accountable owner confirmed that remediation remains in progress and supporting evidence will be retained for independent validation.,"Updated procedure, implementation evidence and post-implementation sample testing.",Validated,0,Document inspection and post-implementation sample testing,2026-05-26,Approve Closure,Remediation evidence was complete and sample testing demonstrated that the redesigned control operated effectively.,2026-05-26,Low
ISS-037,Aged suspense items not escalated,Finance,Suspense Account Reconciliation,External Audit,2026-04-02,"Review of suspense account reconciliation identified that the control 'Aged suspense items reviewed against thresholds and escalated' did not consistently prevent or detect the stated risk. The weakness could lead to delayed identification, inconsistent outcomes or incomplete management information.",Aged suspense items reviewed against thresholds and escalated,Financial Reporting Risk,Reconciliations,Medium,None,None,68000,Manual Process Dependency,"The process relied on manually maintained data and reviewer intervention, increasing the risk of delay, omission and inconsistent execution.",true,Partially Effective,Ineffective,Finance Director,Financial Control Manager,Introduce controlled automation and an independent exception review for suspense account reconciliation.,2026-10-31,2026-10-31,0,Remediation in Progress,2026-09-20,The accountable owner confirmed that remediation remains in progress and supporting evidence will be retained for independent validation.,,Not Submitted,0,,,Pending Review,,,
ISS-038,Manual-journal support not retained consistently,Finance,Manual Journal Review,Controls Testing,2026-04-27,"Review of manual journal review identified that the control 'Manual journals independently approved with complete supporting evidence' did not consistently prevent or detect the stated risk. The weakness could lead to delayed identification, inconsistent outcomes or incomplete management information.",Manual journals independently approved with complete supporting evidence,Financial Reporting Risk,Journal Controls,Medium,None,None,,Manual Process Dependency,"The process relied on manually maintained data and reviewer intervention, increasing the risk of delay, omission and inconsistent execution.",false,Effective,Partially Effective,Finance Director,Financial Control Manager,Introduce controlled automation and an independent exception review for manual journal review.,2026-09-30,2026-10-20,1,Awaiting Closure Review,2026-09-20,The accountable owner confirmed that remediation remains in progress and supporting evidence will be retained for independent validation.,Updated procedure and initial implementation evidence submitted for independent review.,Submitted,0,Document inspection and sample testing,,Pending Review,,,
ISS-039,Regulatory-return variance review,Finance,Regulatory Reporting,External Audit,2025-10-27,"Review of regulatory reporting identified that the control 'Material return variances investigated and independently approved' did not consistently prevent or detect the stated risk. The weakness could lead to delayed identification, inconsistent outcomes or incomplete management information.",Material return variances investigated and independently approved,Regulatory Compliance,Regulatory Reporting,Low,None,Potential,,Data Quality,Incomplete or inaccurate source data reduced the reliability of downstream monitoring and management information.,false,Effective,Effective,Finance Director,Financial Control Manager,"Introduce source-data validation, exception reporting and accountable review for regulatory reporting.",2026-03-31,2026-03-31,0,Closed,2026-03-26,The accountable owner confirmed that remediation remains in progress and supporting evidence will be retained for independent validation.,"Updated procedure, implementation evidence and post-implementation sample testing.",Validated,0,Document inspection and post-implementation sample testing,2026-03-26,Approve Closure,Remediation evidence was complete and sample testing demonstrated that the redesigned control operated effectively.,2026-03-26,Low
ISS-040,Critical supplier outage exposed untested recovery dependency,Third-Party Management,Supplier Continuity and Recovery,Operational Incident,2026-01-05,A critical outsourced service outage interrupted customer operations and demonstrated that recovery dependencies had not been tested end to end against agreed impact tolerances.,Critical supplier recovery capability tested against contractual tolerances,Third-Party Risk,Operational Resilience,High,Actual,Potential,112000,Third-Party Failure,Supplier oversight and assurance did not provide sufficient evidence that the outsourced control environment remained effective.,true,Partially Effective,Ineffective,Chief Operating Officer,Third-Party Risk Manager,"Strengthen supplier assurance, service monitoring and contingency evidence for supplier continuity and recovery.",2026-05-31,2026-07-15,2,Remediation in Progress,2026-09-20,The accountable owner confirmed that remediation remains in progress and supporting evidence will be retained for independent validation.,,Not Submitted,0,,,Pending Review,,,
ISS-041,Savings account-closure fee review,Savings & Deposits,Savings Account Closure,Management Review,2026-01-26,"Review of savings account closure identified that the control 'Closure fees independently reviewed against product terms and customer outcome standards' did not consistently prevent or detect the stated risk. The weakness could lead to delayed identification, inconsistent outcomes or incomplete management information.",Closure fees independently reviewed against product terms and customer outcome standards,Conduct Risk,Fees and Charges,Low,Potential,None,,Inadequate Process Design,The documented process did not contain sufficiently precise preventive and detective steps for the risk identified.,false,Effective,Effective,Head of Savings Operations,Savings Controls Manager,"Redesign and document the end-to-end control steps for savings account closure, including ownership and escalation criteria.",2026-06-30,2026-06-30,0,Closed,2026-06-25,The accountable owner confirmed that remediation remains in progress and supporting evidence will be retained for independent validation.,"Updated procedure, implementation evidence and post-implementation sample testing.",Validated,0,Document inspection and post-implementation sample testing,2026-06-25,Approve Closure,Remediation evidence was complete and sample testing demonstrated that the redesigned control operated effectively.,2026-06-25,Low
ISS-042,Credit override permissions reappeared after remediation,Lending Operations,Credit Decision Overrides,Controls Testing,2026-06-03,"Review of credit decision overrides identified that the control 'Override access restricted and periodically reconciled to approved roles' did not consistently prevent or detect the stated risk. The weakness could lead to delayed identification, inconsistent outcomes or incomplete management information.",Override access restricted and periodically reconciled to approved roles,Credit Risk,Credit Decisioning,High,None,None,,Access Governance,"Access roles, approvals or periodic recertification requirements were not defined and evidenced consistently.",true,Partially Effective,Ineffective,Head of Lending Operations,Lending Controls Manager,Define least-privilege roles and complete evidenced access approval and recertification for credit decision overrides.,2026-07-31,2026-08-20,2,Reopened,2026-09-20,The accountable owner confirmed that remediation remains in progress and supporting evidence will be retained for independent validation.,Previous closure pack retained; recurrence evidence recorded for reassessment.,Not Submitted,0,Recurrence analysis and control retesting,2026-09-18,Reopen,Subsequent testing identified recurrence and showed that the previous remediation did not address the underlying cause.,,
ISS-043,Month-end reconciliation sign-off delayed,Finance,Month-End Reconciliations,Controls Testing,2026-05-08,"Review of month-end reconciliations identified that the control 'Month-end reconciliations completed and independently signed off to timetable' did not consistently prevent or detect the stated risk. The weakness could lead to delayed identification, inconsistent outcomes or incomplete management information.",Month-end reconciliations completed and independently signed off to timetable,Financial Reporting Risk,Reconciliations,Medium,None,None,,Manual Process Dependency,"The process relied on manually maintained data and reviewer intervention, increasing the risk of delay, omission and inconsistent execution.",false,Effective,Partially Effective,Finance Director,Financial Control Manager,Introduce controlled automation and an independent exception review for month-end reconciliations.,2026-09-30,2026-10-15,1,Awaiting Closure Review,2026-09-20,The accountable owner confirmed that remediation remains in progress and supporting evidence will be retained for independent validation.,Updated procedure and initial implementation evidence submitted for independent review.,Submitted,0,Document inspection and sample testing,,Pending Review,,,
ISS-044,Finance-system access recertification population incomplete,Finance,Finance System Access,Internal Audit,2026-09-06,"Review of finance system access identified that the control 'Complete finance-system access population periodically recertified' did not consistently prevent or detect the stated risk. The weakness could lead to delayed identification, inconsistent outcomes or incomplete management information.",Complete finance-system access population periodically recertified,Technology & Cyber Risk,Access Management,Medium,None,None,,Access Governance,"Access roles, approvals or periodic recertification requirements were not defined and evidenced consistently.",false,Not Yet Tested,Not Yet Tested,Finance Director,Financial Control Manager,,,,0,Under Assessment,2026-09-25,The issue is being assessed and accountable actions will be agreed following completion of evidence review.,,Not Submitted,0,,,Pending Review,,,
ISS-045,Supplier bank-detail changes,Finance,Supplier Master Data,External Audit,2025-12-12,"Review of supplier master data identified that the control 'Supplier bank-detail changes independently authenticated and approved' did not consistently prevent or detect the stated risk. The weakness could lead to delayed identification, inconsistent outcomes or incomplete management information.",Supplier bank-detail changes independently authenticated and approved,Financial Crime,Payment Fraud,Low,None,None,12500,Inadequate Process Design,The documented process did not contain sufficiently precise preventive and detective steps for the risk identified.,false,Effective,Effective,Finance Director,Financial Control Manager,"Redesign and document the end-to-end control steps for supplier master data, including ownership and escalation criteria.",2026-05-31,2026-05-31,0,Closed,2026-05-26,The accountable owner confirmed that remediation remains in progress and supporting evidence will be retained for independent validation.,"Updated procedure, implementation evidence and post-implementation sample testing.",Validated,0,Document inspection and post-implementation sample testing,2026-05-26,Approve Closure,Remediation evidence was complete and sample testing demonstrated that the redesigned control operated effectively.,2026-05-26,Low
ISS-046,Supplier exit plans not tested,Third-Party Management,Supplier Exit Planning,RCSA,2026-09-24,"Review of supplier exit planning identified that the control 'Critical supplier exit plans periodically exercised and evidenced' did not consistently prevent or detect the stated risk. The weakness could lead to delayed identification, inconsistent outcomes or incomplete management information.",Critical supplier exit plans periodically exercised and evidenced,Third-Party Risk,Operational Resilience,Low,None,None,,Third-Party Failure,Supplier oversight and assurance did not provide sufficient evidence that the outsourced control environment remained effective.,false,Not Yet Tested,Not Yet Tested,Chief Operating Officer,Third-Party Risk Manager,,,,0,Identified,2026-09-25,,,Not Submitted,0,,,Pending Review,,,
ISS-047,Critical supplier assurance reports not reviewed promptly,Third-Party Management,Supplier Assurance,Internal Audit,2026-04-15,"Review of supplier assurance identified that the control 'Supplier assurance reports risk-assessed and exceptions tracked to resolution' did not consistently prevent or detect the stated risk. The weakness could lead to delayed identification, inconsistent outcomes or incomplete management information.",Supplier assurance reports risk-assessed and exceptions tracked to resolution,Third-Party Risk,Supplier Oversight,High,None,Potential,,Third-Party Failure,Supplier oversight and assurance did not provide sufficient evidence that the outsourced control environment remained effective.,false,Partially Effective,Ineffective,Chief Operating Officer,Third-Party Risk Manager,"Strengthen supplier assurance, service monitoring and contingency evidence for supplier assurance.",2026-10-31,2026-10-31,0,Remediation in Progress,2026-09-20,The accountable owner confirmed that remediation remains in progress and supporting evidence will be retained for independent validation.,,Not Submitted,0,,,Pending Review,,,
ISS-048,Outsourcing inventory evidence incomplete,Third-Party Management,Outsourcing Inventory,Compliance Monitoring,2026-03-17,"Review of outsourcing inventory identified that the control 'Complete outsourcing inventory reconciled and approved by accountable owners' did not consistently prevent or detect the stated risk. The weakness could lead to delayed identification, inconsistent outcomes or incomplete management information.",Complete outsourcing inventory reconciled and approved by accountable owners,Regulatory Compliance,Outsourcing Governance,Low,None,Potential,,Roles and Responsibilities,"Accountability between teams was unclear, resulting in gaps in ownership, review and timely escalation.",false,Effective,Partially Effective,Chief Operating Officer,Third-Party Risk Manager,Assign accountable owners and introduce a documented review and escalation workflow for outsourcing inventory.,2026-08-31,2026-10-31,1,Further Evidence Required,2026-09-20,The accountable owner confirmed that remediation remains in progress and supporting evidence will be retained for independent validation.,Procedure and selected implementation evidence submitted; reviewer identified gaps in the testing period or population.,Further Evidence Required,0,Document inspection and targeted sample testing,2026-09-22,Request Further Evidence,The evidence supports the revised design but does not yet demonstrate complete and sustained operating effectiveness.,,
